axis=2 center=525 amp=300 duration_s=10
wake=ok after 1ms
ang_start=998 ang_preclose=998 max_dANG_open=0 (moved > 30)
ang_postclose=896 dANG_postclose=102
verdict: DISCONNECT-GATED - flat while open, moved only after ecx_close
phase,t_ms,target,angleact,pos,sta,cur,err
open,6470,225,998,1552,1,0,0
open,6490,225,998,1552,1,0,0
open,6510,825,998,1552,1,0,0
open,6531,825,998,1552,1,0,0
open,6551,825,998,1552,1,0,0
open,6572,825,998,1552,1,0,0
open,6592,825,998,1552,1,0,0
open,6613,825,998,1552,1,0,0
open,6633,825,998,1552,1,0,0
open,6653,825,998,1552,1,0,0
open,6673,825,998,1552,1,0,0
open,6694,825,998,1552,1,0,0
open,6714,825,998,1552,1,0,0
open,6735,825,998,1552,1,0,0
open,6755,825,998,1552,1,0,0
open,6775,825,998,1552,1,0,0
open,6795,825,998,1552,1,0,0
open,6816,825,998,1552,1,0,0
open,6836,825,998,1552,1,0,0
open,6857,825,998,1552,1,0,0
open,6877,825,998,1552,1,0,0
open,6897,825,998,1552,1,0,0
open,6917,825,998,1552,1,0,0
open,6938,825,998,1552,1,0,0
open,6958,825,998,1552,1,0,0
open,6978,825,998,1552,1,0,0
open,6998,825,998,1552,1,0,0
open,7019,225,998,1552,1,0,0
open,7039,225,998,1552,1,0,0
open,7060,225,998,1552,1,0,0
open,7080,225,998,1552,1,0,0
open,7100,225,998,1552,1,0,0
open,7120,225,998,1552,1,0,0
open,7141,225,998,1552,1,0,0
open,7161,225,998,1552,1,0,0
open,7181,225,998,1552,1,0,0
open,7201,225,998,1552,1,0,0
open,7222,225,998,1552,1,0,0
open,7242,225,998,1552,1,0,0
open,7263,225,998,1552,1,0,0
open,7283,225,998,1552,1,0,0
open,7303,225,998,1552,1,0,0
open,7323,225,998,1552,1,0,0
open,7344,225,998,1552,1,0,0
open,7364,225,998,1552,1,0,0
open,7384,225,998,1552,1,0,0
open,7404,225,998,1552,1,0,0
open,7424,225,998,1552,1,0,0
open,7444,225,998,1552,1,0,0
open,7464,225,998,1552,1,0,0
open,7484,225,998,1552,1,0,0
open,7504,825,998,1552,1,0,0
open,7524,825,998,1552,1,0,0
open,7544,825,998,1552,1,0,0
open,7564,825,998,1552,1,0,0
open,7584,825,998,1552,1,0,0
open,7604,825,998,1552,1,0,0
open,7624,825,998,1552,1,0,0
open,7644,825,998,1552,1,0,0
open,7665,825,998,1552,1,0,0
open,7685,825,998,1552,1,0,0
open,7705,825,998,1552,1,0,0
open,7725,825,998,1552,1,0,0
open,7745,825,998,1552,1,0,0
open,7765,825,998,1552,1,0,0
open,7785,825,998,1552,1,0,0
open,7805,825,998,1552,1,0,0
open,7825,825,998,1552,1,0,0
open,7845,825,998,1552,1,0,0
open,7865,825,998,1552,1,0,0
open,7885,825,998,1552,1,0,0
open,7906,825,998,1552,1,0,0
open,7926,825,998,1552,1,0,0
open,7946,825,998,1552,1,0,0
open,7966,825,998,1552,1,0,0
open,7986,825,998,1552,1,0,0
open,8006,225,998,1552,1,0,0
open,8026,225,998,1552,1,0,0
open,8046,225,998,1552,1,0,0
open,8066,225,998,1552,1,0,0
open,8087,225,998,1552,1,0,0
open,8107,225,998,1552,1,0,0
open,8127,225,998,1552,1,0,0
open,8147,225,998,1552,1,0,0
open,8167,225,998,1552,1,0,0
open,8187,225,998,1552,1,0,0
open,8207,225,998,1552,1,0,0
open,8228,225,998,1552,1,0,0
open,8248,225,998,1552,1,0,0
open,8268,225,998,1552,1,0,0
open,8288,225,998,1552,1,0,0
open,8308,225,998,1552,1,0,0
open,8328,225,998,1552,1,0,0
open,8348,225,998,1552,1,0,0
open,8369,225,998,1552,1,0,0
open,8389,225,998,1552,1,0,0
open,8410,225,998,1552,1,0,0
open,8430,225,998,1552,1,0,0
open,8451,225,998,1552,1,0,0
open,8471,225,998,1552,1,0,0
open,8491,225,998,1552,1,0,0
open,8511,825,998,1552,1,0,0
open,8531,825,998,1552,1,0,0
open,8551,825,998,1552,1,0,0
open,8571,825,998,1552,1,0,0
open,8591,825,998,1552,1,0,0
open,8612,825,998,1552,1,0,0
open,8632,825,998,1552,1,0,0
open,8653,825,998,1552,1,0,0
open,8673,825,998,1552,1,0,0
open,8693,825,998,1552,1,0,0
open,8713,825,998,1552,1,0,0
open,8734,825,998,1552,1,0,0
open,8754,825,998,1552,1,0,0
open,8775,825,998,1552,1,0,0
open,8795,825,998,1552,1,0,0
open,8815,825,998,1552,1,0,0
open,8835,825,998,1552,1,0,0
open,8856,825,998,1552,1,0,0
open,8876,825,998,1552,1,0,0
